city	selfies	co2	coffeeCups	cups	Country	CO2perCapitaPerCountry	Index of how bad a country is	radius	region
Manhattan, NY	3823	2.92	22.48823529	22	US	16.5	48.2558175	48	North America
Singapore	2432	1.86	14.30588235	14	Singapore	10.3	19.162944	19	South Asia
London	3135	2.4	18.44117647	18	UK	6.5	15.5887875	16	Europe
Anaheim and Santa Ana	1222	0.93	7.188235294	7	US	16.5	15.424695	15	North America
Istanbul	4096	3.13	24.09411765	24	Turkey	4.5	14.10048	14	Middle East
Toronto	1232	0.94	7.247058824	7	Canada	15.1	14.231448	14	North America
Sydney	1097	0.84	6.452941176	6	Australia	15.4	12.923757	13	Oceania
San Francisco	934	0.71	5.494117647	5	US	16.5	11.789415	12	North America
Moscow	1231	0.94	7.241176471	7	Russia	11.9	11.2064085	11	Asia
Paris	2329	1.78	13.7	14	France	4.6	8.195751	8	Europe
Milano	1751	1.34	10.3	10	Italy	5.3	7.0994295	7	Europe
Petaling Jaya	925	0.71	5.441176471	5	Malaysia	8	5.661	6	South Asia
Rome	1231	0.94	7.241176471	7	Italy	5.3	4.9910895	5	Europe
Copenhagen	1068	0.82	6.282352941	6	Denmark	5.9	4.820418	5	Europe
Makati and Pasig	4155	3.18	24.44117647	24	Philippines	1.1	3.4964325	3	East Asia
Madrid	889	0.68	5.229411765	5	Spain	5	3.400425	3	Europe
Stockholm	851	0.65	5.005882353	5	Sweden	4.5	2.9295675	3	Europe
Izmir	1004	0.77	5.905882353	6	Turkey	4.5	3.45627	3	Middle East
Cebu City	1064	0.81	6.258823529	6	Philippines	1.1	0.895356	1	East Asia